batch_size,num_hist,frameskip,T,num_episodes,num_workers,slices,train_samples,steps,training_ok,rollout_ok,vram_train_mib,vram_train_pct,vram_val_peak_mib,vram_val_peak_pct,val_overhead_pct,vram_ok,score,attention_seq_len,attention_mib
4,4,3,22,1000,2,8,7200,1800,True,True,10898.6,44.4,12614.6,51.4,15.7,True,4000.06,784,2478.9
8,4,3,22,500,2,8,3600,450,True,True,19238.5,78.3,21997.1,89.5,14.3,True,4000.22,784,4957.8
8,4,3,22,1000,2,8,7200,900,True,True,19238.5,78.3,21997.1,89.5,14.3,True,4000.11,784,4957.8
16,4,3,22,500,2,8,3600,225,True,True,35918.1,146.2,40761.9,165.9,13.5,False,-1.0,784,9915.7
16,4,3,22,1000,2,8,7200,450,True,True,35918.1,146.2,40761.9,165.9,13.5,False,-1.0,784,9915.7
32,4,3,22,500,2,8,3600,113,True,True,69277.5,282.0,78291.6,318.7,13.0,False,-1.0,784,19831.4
32,4,3,22,1000,2,8,7200,225,True,True,69277.5,282.0,78291.6,318.7,13.0,False,-1.0,784,19831.4
4,4,4,22,500,2,3,1350,338,True,False,10898.6,44.4,12611.4,51.3,15.7,True,-1.0,784,2478.9
4,4,4,22,1000,2,3,2700,675,True,False,10898.6,44.4,12611.4,51.3,15.7,True,-1.0,784,2478.9
8,4,4,22,500,2,3,1350,169,True,False,19238.5,78.3,21993.8,89.5,14.3,True,-1.0,784,4957.8
8,4,4,22,1000,2,3,2700,338,True,False,19238.5,78.3,21993.8,89.5,14.3,True,-1.0,784,4957.8
16,4,4,22,500,2,3,1350,85,True,False,35918.1,146.2,40758.7,165.9,13.5,False,-1.0,784,9915.7
16,4,4,22,1000,2,3,2700,169,True,False,35918.1,146.2,40758.7,165.9,13.5,False,-1.0,784,9915.7
32,4,4,22,500,2,3,1350,43,True,False,69277.5,282.0,78288.4,318.7,13.0,False,-1.0,784,19831.4
32,4,4,22,1000,2,3,2700,85,True,False,69277.5,282.0,78288.4,318.7,13.0,False,-1.0,784,19831.4
4,4,5,22,500,2,0,0,0,False,False,10898.6,44.4,12609.8,51.3,15.7,True,-1.0,784,2478.9
4,4,5,22,1000,2,0,0,0,False,False,10898.6,44.4,12609.8,51.3,15.7,True,-1.0,784,2478.9
8,4,5,22,500,2,0,0,0,False,False,19238.5,78.3,21992.2,89.5,14.3,True,-1.0,784,4957.8
8,4,5,22,1000,2,0,0,0,False,False,19238.5,78.3,21992.2,89.5,14.3,True,-1.0,784,4957.8
16,4,5,22,500,2,0,0,0,False,False,35918.1,146.2,40757.0,165.9,13.5,False,-1.0,784,9915.7
16,4,5,22,1000,2,0,0,0,False,False,35918.1,146.2,40757.0,165.9,13.5,False,-1.0,784,9915.7
32,4,5,22,500,2,0,0,0,False,False,69277.5,282.0,78286.8,318.7,13.0,False,-1.0,784,19831.4
32,4,5,22,1000,2,0,0,0,False,False,69277.5,282.0,78286.8,318.7,13.0,False,-1.0,784,19831.4
4,5,1,22,500,2,17,7650,1913,True,True,13527.8,55.1,15757.9,64.2,16.5,True,5000.05,980,3873.3
4,5,1,22,1000,2,17,15300,3825,True,True,13527.8,55.1,15757.9,64.2,16.5,True,5000.03,980,3873.3
8,5,1,22,500,2,17,7650,957,True,True,24496.7,99.7,28093.3,114.4,14.7,False,-1.0,980,7746.6
8,5,1,22,1000,2,17,15300,1913,True,True,24496.7,99.7,28093.3,114.4,14.7,False,-1.0,980,7746.6
16,5,1,22,500,2,17,7650,479,True,True,46434.7,189.0,52764.2,214.8,13.6,False,-1.0,980,15493.3
16,5,1,22,1000,2,17,15300,957,True,True,46434.7,189.0,52764.2,214.8,13.6,False,-1.0,980,15493.3
32,5,1,22,500,2,17,7650,240,True,True,90310.7,367.7,102105.9,415.7,13.1,False,-1.0,980,30986.5
32,5,1,22,1000,2,17,15300,479,True,True,90310.7,367.7,102105.9,415.7,13.1,False,-1.0,980,30986.5
4,5,2,22,500,2,11,4950,1238,True,True,13527.8,55.1,15740.0,64.1,16.4,True,5000.08,980,3873.3
4,5,2,22,1000,2,11,9900,2475,True,True,13527.8,55.1,15740.0,64.1,16.4,True,5000.04,980,3873.3
8,5,2,22,500,2,11,4950,619,True,True,24496.7,99.7,28075.5,114.3,14.6,False,-1.0,980,7746.6
8,5,2,22,1000,2,11,9900,1238,True,True,24496.7,99.7,28075.5,114.3,14.6,False,-1.0,980,7746.6
16,5,2,22,500,2,11,4950,310,True,True,46434.7,189.0,52746.3,214.7,13.6,False,-1.0,980,15493.3
16,5,2,22,1000,2,11,9900,619,True,True,46434.7,189.0,52746.3,214.7,13.6,False,-1.0,980,15493.3
32,5,2,22,500,2,11,4950,155,True,True,90310.7,367.7,102088.1,415.6,13.0,False,-1.0,980,30986.5
32,5,2,22,1000,2,11,9900,310,True,True,90310.7,367.7,102088.1,415.6,13.0,False,-1.0,980,30986.5
4,5,3,22,500,2,5,2250,563,True,False,13527.8,55.1,15735.2,64.1,16.3,True,-1.0,980,3873.3
4,5,3,22,1000,2,5,4500,1125,True,False,13527.8,55.1,15735.2,64.1,16.3,True,-1.0,980,3873.3
8,5,3,22,500,2,5,2250,282,True,False,24496.7,99.7,28070.6,114.3,14.6,False,-1.0,980,7746.6
8,5,3,22,1000,2,5,4500,563,True,False,24496.7,99.7,28070.6,114.3,14.6,False,-1.0,980,7746.6
16,5,3,22,500,2,5,2250,141,True,False,46434.7,189.0,52741.5,214.7,13.6,False,-1.0,980,15493.3
16,5,3,22,1000,2,5,4500,282,True,False,46434.7,189.0,52741.5,214.7,13.6,False,-1.0,980,15493.3
32,5,3,22,500,2,5,2250,71,True,False,90310.7,367.7,102083.2,415.6,13.0,False,-1.0,980,30986.5
32,5,3,22,1000,2,5,4500,141,True,False,90310.7,367.7,102083.2,415.6,13.0,False,-1.0,980,30986.5
4,5,4,22,500,2,0,0,0,False,False,13527.8,55.1,15731.9,64.0,16.3,True,-1.0,980,3873.3
4,5,4,22,1000,2,0,0,0,False,False,13527.8,55.1,15731.9,64.0,16.3,True,-1.0,980,3873.3
8,5,4,22,500,2,0,0,0,False,False,24496.7,99.7,28067.3,114.3,14.6,False,-1.0,980,7746.6
8,5,4,22,1000,2,0,0,0,False,False,24496.7,99.7,28067.3,114.3,14.6,False,-1.0,980,7746.6
16,5,4,22,500,2,0,0,0,False,False,46434.7,189.0,52738.2,214.7,13.6,False,-1.0,980,15493.3
